askVol,"[1, 1, 6, 0, 0]"
bidPrice,"[186.01, 185.97, 185.88, 0.0, 0.0]"
bidVol,"[3, 1, 5, 0, 0]"
high,186.57
lastClose,182.2
lastPrice,186.4
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,51132
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:06
volume,511
,603444.SH
amount,10049900.0
askPrice,"[186.5, 186.53, 186.56, 0.0, 0.0]"
askVol,"[8, 6, 1, 0, 0]"
bidPrice,"[186.43, 186.41, 186.1, 0.0, 0.0]"
bidVol,"[1, 1, 5, 0, 0]"
high,186.57
lastClose,182.2
lastPrice,186.49
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,54332
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:09
volume,543
,603444.SH
amount,11392700.0
askPrice,"[186.6, 186.64000000000001, 186.65, 0.0, 0.0]"
askVol,"[1, 3, 2, 0, 0]"
bidPrice,"[186.58, 186.57, 186.5, 0.0, 0.0]"
bidVol,"[1, 3, 3, 0, 0]"
high,186.6
lastClose,182.2
lastPrice,186.6
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,61532
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:12
volume,615
,603444.SH
amount,11766000.0
askPrice,"[186.84, 186.9, 186.95000000000002, 0.0, 0.0]"
askVol,"[1, 1, 10, 0, 0]"
bidPrice,"[186.58, 186.57, 186.5, 0.0, 0.0]"
bidVol,"[3, 3, 1, 0, 0]"
high,186.70000000000002
lastClose,182.2
lastPrice,186.58
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,63532
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:15
volume,635
,603444.SH
amount,12046000.0
askPrice,"[186.79, 186.8, 186.89000000000001, 0.0, 0.0]"
askVol,"[1, 1, 1, 0, 0]"
bidPrice,"[186.70000000000002, 186.5, 186.41, 0.0, 0.0]"
bidVol,"[4, 1, 1, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.70000000000002
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,65032
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:18
volume,650
,603444.SH
amount,12437900.0
askPrice,"[186.58, 186.89000000000001, 186.9, 0.0, 0.0]"
askVol,"[2, 2, 11, 0, 0]"
bidPrice,"[186.5, 186.41, 186.4, 0.0, 0.0]"
bidVol,"[1, 1, 1, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.58
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,67132
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:21
volume,671
,603444.SH
amount,12662000.0
askPrice,"[186.55, 186.58, 186.81, 0.0, 0.0]"
askVol,"[7, 5, 1, 0, 0]"
bidPrice,"[186.41, 186.4, 186.19, 0.0, 0.0]"
bidVol,"[1, 1, 2, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.58
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,68332
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:24
volume,683
,603444.SH
amount,12960400.0
askPrice,"[186.41, 186.58, 186.6, 0.0, 0.0]"
askVol,"[1, 1, 1, 0, 0]"
bidPrice,"[186.23, 186.22, 186.21, 0.0, 0.0]"
bidVol,"[1, 2, 1, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.41
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,69932
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:27
volume,699
,603444.SH
amount,13016300.0
askPrice,"[186.54, 186.55, 186.58, 0.0, 0.0]"
askVol,"[1, 1, 4, 0, 0]"
bidPrice,"[186.19, 186.15, 186.11, 0.0, 0.0]"
bidVol,"[2, 3, 5, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.41
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,70232
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:30
volume,702
,603444.SH
amount,13221100.0
askPrice,"[186.23, 186.39000000000001, 186.4, 0.0, 0.0]"
askVol,"[4, 3, 3, 0, 0]"
bidPrice,"[186.11, 186.07, 186.03, 0.0, 0.0]"
bidVol,"[3, 8, 10, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.11
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,71332
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:33
volume,713
,603444.SH
amount,13500400.0
askPrice,"[186.23, 186.28, 186.35, 0.0, 0.0]"
askVol,"[4, 1, 2, 0, 0]"
bidPrice,"[186.11, 186.07, 186.03, 0.0, 0.0]"
bidVol,"[3, 5, 10, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.23
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,72832
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:36
volume,728
,603444.SH
amount,13723700.0
askPrice,"[186.1, 186.11, 186.19, 0.0, 0.0]"
askVol,"[2, 2, 2, 0, 0]"
bidPrice,"[186.07, 186.03, 186.02, 0.0, 0.0]"
bidVol,"[2, 10, 1, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.11
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,74032
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:39
volume,740
,603444.SH
amount,14058500.0
askPrice,"[186.01, 186.02, 186.03, 0.0, 0.0]"
askVol,"[5, 4, 8, 0, 0]"
bidPrice,"[185.70000000000002, 185.66, 185.27, 0.0, 0.0]"
bidVol,"[5, 3, 1, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,185.85
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,75832
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:42
volume,758
,603444.SH
amount,14523600.0
askPrice,"[185.99, 186.0, 186.02, 0.0, 0.0]"
askVol,"[1, 1, 2, 0, 0]"
bidPrice,"[185.86, 185.84, 185.72, 0.0, 0.0]"
bidVol,"[1, 3, 1, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,185.85
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,78332
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:45
volume,783
,603444.SH
amount,14616500.0
askPrice,"[186.01, 186.02, 186.03, 0.0, 0.0]"
askVol,"[2, 2, 2, 0, 0]"
bidPrice,"[186.0, 185.84, 185.70000000000002, 0.0, 0.0]"
bidVol,"[3, 3, 5, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.0
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,78832
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:48
volume,788
,603444.SH
amount,14802500.0
askPrice,"[186.01, 186.02, 186.03, 0.0, 0.0]"
askVol,"[1, 2, 2, 0, 0]"
bidPrice,"[185.84, 185.70000000000002, 185.66, 0.0, 0.0]"
bidVol,"[2, 5, 3, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.0
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,79832
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:51
volume,798
,603444.SH
amount,14895500.0
askPrice,"[185.99, 186.0, 186.01, 0.0, 0.0]"
askVol,"[1, 10, 1, 0, 0]"
bidPrice,"[185.84, 185.70000000000002, 185.66, 0.0, 0.0]"
bidVol,"[1, 5, 3, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,185.88
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,80332
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:31:54
volume,803
,603444.SH
amount,15286000.0
askPrice,"[185.77, 186.0, 186.01, 0.0, 0.0]"
askVol,"[3, 2, 1, 0, 0]"
bidPrice,"[185.71, 185.70000000000002, 185.66, 0.0, 0.0]"
